                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1106,                  2.693,                 2.0393,                0.40053,                0.58992,                0.40249,                0.13701,                 2.2119,                 1.6957,                 1.5672,             0.00066589,             0.00066589,             0.00066589
                      2,                 2.1722,                 1.5319,                 1.3705,                0.48031,                0.56832,                0.43675,                 0.1454,                 2.1136,                   1.78,                 1.4435,              0.0012666,              0.0012666,              0.0012666
                      3,                 2.1027,                 1.4643,                  1.326,                 0.7059,                0.69691,                0.72466,                0.24192,                 2.0719,                 1.7034,                 1.4337,              0.0018013,              0.0018013,              0.0018013
                      4,                 2.0394,                 1.3939,                 1.2938,                0.73875,                0.70365,                0.69725,                0.22822,                 2.0373,                 1.5352,                 1.3913,               0.001703,               0.001703,               0.001703
                      5,                 1.9755,                 1.3279,                 1.2601,                0.77705,                0.68832,                0.72386,                0.21605,                 2.1108,                 1.5363,                 1.4036,               0.001604,               0.001604,               0.001604
                      6,                 1.9028,                 1.2418,                 1.2333,                0.78498,                0.66132,                0.71457,                0.23714,                 2.2993,                 1.3532,                 1.4951,               0.001505,               0.001505,               0.001505
                      7,                 1.8596,                 1.1717,                 1.2127,                0.91444,                0.81327,                0.89367,                0.35745,                  1.951,                 1.1706,                 1.3174,               0.001406,               0.001406,               0.001406
                      8,                 1.8086,                 1.1448,                 1.1964,                0.88621,                0.80926,                0.88716,                0.33306,                 1.9994,                 1.2004,                 1.3231,               0.001307,               0.001307,               0.001307
                      9,                 1.7664,                 1.1137,                 1.1776,                0.92786,                0.89478,                0.93824,                0.40291,                 1.8832,                 1.0353,                 1.2838,               0.001208,               0.001208,               0.001208
                     10,                 1.7475,                 1.1063,                 1.1739,                0.84179,                0.78105,                 0.8248,                0.20846,                 2.7391,                  1.116,                 1.6724,               0.001109,               0.001109,               0.001109
                     11,                 1.5972,                 1.0699,                 1.1922,                0.93578,                0.88774,                0.94312,                0.43986,                 1.7266,                   1.08,                 1.2049,                0.00101,                0.00101,                0.00101
                     12,                 1.5378,                 1.0547,                 1.1703,                0.94026,                0.88723,                0.94722,                0.42933,                 1.8119,                  1.036,                 1.2259,               0.000911,               0.000911,               0.000911
                     13,                 1.5294,                  1.044,                 1.1654,                0.93936,                0.91314,                0.95379,                0.43161,                 1.8676,                 1.0449,                 1.2407,               0.000812,               0.000812,               0.000812
                     14,                 1.5059,                 1.0303,                 1.1551,                0.94634,                0.92856,                0.95856,                0.43539,                 1.8683,                 1.0006,                 1.2457,               0.000713,               0.000713,               0.000713
                     15,                 1.4848,                 1.0246,                 1.1487,                0.94726,                0.92857,                0.96487,                0.44354,                 1.8805,                0.98503,                 1.2437,               0.000614,               0.000614,               0.000614
                     16,                 1.4723,                 1.0029,                 1.1425,                0.94941,                0.93045,                0.96236,                0.45136,                 1.8309,                 0.9951,                 1.2332,               0.000515,               0.000515,               0.000515
                     17,                 1.4611,                 1.0021,                 1.1373,                0.95533,                0.94588,                0.97041,                 0.4646,                 1.7881,                0.98363,                 1.2106,               0.000416,               0.000416,               0.000416
                     18,                 1.4477,                0.99006,                 1.1348,                0.95548,                0.94413,                0.96932,                0.43876,                 1.9487,                0.95367,                 1.2816,               0.000317,               0.000317,               0.000317
                     19,                 1.4347,                0.97973,                 1.1294,                0.95665,                0.94692,                0.97038,                0.45182,                 1.8906,                0.94207,                 1.2519,               0.000218,               0.000218,               0.000218
                     20,                 1.4263,                0.96712,                 1.1235,                 0.9587,                0.95174,                0.97327,                0.45796,                 1.8654,                0.93962,                 1.2418,               0.000119,               0.000119,               0.000119
